CUST NO.	XCOORD.	YCOORD.	DEMAND	TWNUM.	TWS
0		30.52211	114.36466999999999	0	1	0,480
1		30.477	114.292	1	1	178,243
2		30.49	114.417	1	3	45,105;113,174;188,250
3		30.473	114.32	3	2	29,206;223,400
4		30.601	114.35	2	1	318,434
5		30.502	114.388	2	2	48,166;194,313
6		30.616	114.392	1	2	57,121;194,258
7		30.608	114.361	2	3	21,137;145,260;335,453
8		30.522	114.336	1	1	188,253
9		30.498	114.396	1	2	141,206;369,431
10		30.48	114.321	1	1	107,168
11		30.611	114.385	3	1	236,416
12		30.495	114.418	1	1	230,293
13		30.509	114.363	1	2	4,67;86,150
14		30.508	114.383	3	1	151,331
15		30.588	114.379	1	3	37,98;100,160;290,355
16		30.614	114.393	2	1	137,255
17		30.513	114.389	4	1	63,302
18		30.51	114.375	2	2	92,209;214,330
19		30.592	114.373	1	1	285,346
20		30.477	114.32	1	1	74,136
21		30.484	114.253	1	1	219,279
